goos: linux
goarch: amd64
pkg: bench-hashmaps
cpu: Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz
BenchmarkU32RandomShuffleInserts/std-50000-8      	       2	   2398264 ns/op	   3642816 Bytes	        -1.000 Load	     50000 N-runs	 1635592 B/op	    1875 allocs/op
BenchmarkU32RandomShuffleInserts/robin-50000-8    	       2	   1697704 ns/op	   3517584 Bytes	         0.7629 Load	     50000 N-runs	 1572768 B/op	      14 allocs/op
BenchmarkU32RandomShuffleInserts/robinLowLoad-50000-8         	       2	   1969485 ns/op	   2731976 Bytes	         0.3815 Load	     50000 N-runs	 3146784 B/op	      18 allocs/op
BenchmarkU32RandomShuffleInserts/unordered-50000-8            	       2	   2993232 ns/op	   2539824 Bytes	         0.7629 Load	     50000 N-runs	 1848512 B/op	   50014 allocs/op
BenchmarkU32RandomShuffleInserts/swiss-50000-8                	       2	   2138126 ns/op	   2735512 Bytes	        -1.000 Load	     50000 N-runs	 1179360 B/op	      24 allocs/op
BenchmarkU32RandomShuffleInserts/generic-50000-8              	       2	   2114724 ns/op	   3324112 Bytes	        -1.000 Load	     50000 N-runs	 3145708 B/op	      17 allocs/op
BenchmarkU32RandomShuffleInserts/flat-50000-8                 	       2	   1619732 ns/op	   1948048 Bytes	         0.3815 Load	     50000 N-runs	 2097140 B/op	      16 allocs/op
BenchmarkU32RandomShuffleInserts/hopscotch-50000-8            	       2	   2248268 ns/op	   2374096 Bytes	         0.7628 Load	     50000 N-runs	 2169664 B/op	      16 allocs/op
BenchmarkU32RandomShuffleInserts/hopscotchLowLoad-50000-8     	       2	   2839394 ns/op	   3537896 Bytes	         0.3814 Load	     50000 N-runs	 4274772 B/op	      18 allocs/op
BenchmarkU32RandomShuffleInserts/std-100000-8                 	       2	   4768054 ns/op	   3419496 Bytes	        -1.000 Load	    100000 N-runs	 3270912 B/op	    3961 allocs/op
BenchmarkU32RandomShuffleInserts/robin-100000-8               	       2	   4014119 ns/op	   6472472 Bytes	         0.7629 Load	    100000 N-runs	 3145632 B/op	      15 allocs/op
