goos: linux
goarch: amd64
pkg: bench-hashmaps
cpu: Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz
BenchmarkU32RandomShuffleInserts/std-50000-8      	       2	   2714240 ns/op	   3636248 Bytes	        -1.000 Load	     50000 N-runs	 1629944 B/op	    1871 allocs/op
BenchmarkU32RandomShuffleInserts/robin-50000-8    	       2	   2133648 ns/op	   3614560 Bytes	         0.7627 Load	     50000 N-runs	 1618852 B/op	      14 allocs/op
BenchmarkU32RandomShuffleInserts/robinLowLoad-50000-8         	       2	   2059320 ns/op	   3463592 Bytes	         0.3814 Load	     50000 N-runs	 3199952 B/op	      15 allocs/op
BenchmarkU32RandomShuffleInserts/unordered-50000-8            	       2	   2785899 ns/op	   2503368 Bytes	         0.7629 Load	     50000 N-runs	 1849568 B/op	   50016 allocs/op
BenchmarkU32RandomShuffleInserts/swiss-50000-8                	       2	   2234193 ns/op	   2737936 Bytes	        -1.000 Load	     50000 N-runs	 1179360 B/op	      24 allocs/op
BenchmarkU32RandomShuffleInserts/generic-50000-8              	       2	   2003256 ns/op	   3326528 Bytes	        -1.000 Load	     50000 N-runs	 3145704 B/op	      17 allocs/op
BenchmarkU32RandomShuffleInserts/std-100000-8                 	       2	   5632332 ns/op	   2988512 Bytes	        -1.000 Load	    100000 N-runs	 3261932 B/op	    3851 allocs/op
BenchmarkU32RandomShuffleInserts/robin-100000-8               	       2	   4698257 ns/op	   2950576 Bytes	         0.7628 Load	    100000 N-runs	 3199904 B/op	      15 allocs/op
BenchmarkU32RandomShuffleInserts/robinLowLoad-100000-8        	       2	   4797840 ns/op	   5310232 Bytes	         0.3814 Load	    100000 N-runs	 6353876 B/op	      17 allocs/op
BenchmarkU32RandomShuffleInserts/unordered-100000-8           	       2	   8867000 ns/op	   3748272 Bytes	         0.7629 Load	    100000 N-runs	 3697088 B/op	  100015 allocs/op
BenchmarkU32RandomShuffleInserts/swiss-100000-8               	       2	   4552988 ns/op	   2865080 Bytes	        -1.000 Load	    100000 N-runs	 2359008 B/op	      26 allocs/op
BenchmarkU32RandomShuffleInserts/generic-100000-8             	       2	   4685124 ns/op	   5294248 Bytes	        -1.000 Load	    100000 N-runs	 6291432 B/op	      18 allocs/op
BenchmarkU32RandomShuffleInserts/std-200000-8                 	       2	  11784082 ns/op	   5839664 Bytes	        -1.000 Load	    200000 N-runs	 6607472 B/op	    7976 allocs/op
BenchmarkU32RandomShuffleInserts/robin-200000-8               	       2	   8966857 ns/op	   5712336 Bytes	         0.7629 Load	    200000 N-runs	 6353824 B/op	      16 allocs/op
BenchmarkU32RandomShuffleInserts/robinLowLoad-200000-8        	       2	   9809062 ns/op	  10431008 Bytes	         0.3815 Load	    200000 N-runs	12653472 B/op	      17 allocs/op
BenchmarkU32RandomShuffleInserts/unordered-200000-8           	       2	  16750635 ns/op	   7323224 Bytes	         0.7629 Load	    200000 N-runs	 7394244 B/op	  200016 allocs/op
BenchmarkU32RandomShuffleInserts/swiss-200000-8               	       2	   9937272 ns/op	   4516544 Bytes	        -1.000 Load	    200000 N-runs	 4718304 B/op	      28 allocs/op
BenchmarkU32RandomShuffleInserts/generic-200000-8             	       2	  10155991 ns/op	  10415120 Bytes	        -1.000 Load	    200000 N-runs	12582888 B/op	      19 allocs/op
BenchmarkU32RandomShuffleInserts/std-400000-8                 	       2	  24852165 ns/op	  11463464 Bytes	        -1.000 Load	    400000 N-runs	13150256 B/op	   16191 allocs/op
BenchmarkU32RandomShuffleInserts/robin-400000-8               	       2	  32156140 ns/op	  20671816 Bytes	         0.3815 Load	    400000 N-runs	25244576 B/op	      18 allocs/op
BenchmarkU32RandomShuffleInserts/robinLowLoad-400000-8        	       2	  28005686 ns/op	  20671896 Bytes	         0.3815 Load	    400000 N-runs	25244576 B/op	      18 allocs/op
BenchmarkU32RandomShuffleInserts/unordered-400000-8           	       2	  39829114 ns/op	  12375592 Bytes	         0.7629 Load	    400000 N-runs	14788544 B/op	  400017 allocs/op
BenchmarkU32RandomShuffleInserts/swiss-400000-8               	       2	  21215499 ns/op	   8859184 Bytes	        -1.000 Load	    400000 N-runs	 9436896 B/op	      30 allocs/op
BenchmarkU32RandomShuffleInserts/generic-400000-8             	       2	  21364353 ns/op	  20655824 Bytes	        -1.000 Load	    400000 N-runs	25165800 B/op	      20 allocs/op
BenchmarkU32RandomShuffleInserts/std-600000-8                 	       2	  51120786 ns/op	  20370312 Bytes	        -1.000 Load	    600000 N-runs	24867488 B/op	   19135 allocs/op
BenchmarkU32RandomShuffleInserts/robin-600000-8               	       2	  42721481 ns/op	  40341416 Bytes	         0.2861 Load	    600000 N-runs	50418592 B/op	      19 allocs/op
BenchmarkU32RandomShuffleInserts/robinLowLoad-600000-8        	       2	  40219209 ns/op	  40342728 Bytes	         0.2861 Load	    600000 N-runs	50418592 B/op	      19 allocs/op
BenchmarkU32RandomShuffleInserts/unordered-600000-8           	       2	  65303266 ns/op	  24759968 Bytes	         0.5722 Load	    600000 N-runs	26377204 B/op	  600019 allocs/op
BenchmarkU32RandomShuffleInserts/swiss-600000-8               	       2	  39287402 ns/op	  16733032 Bytes	        -1.000 Load	    600000 N-runs	18874128 B/op	      32 allocs/op
